,Unnamed: 0,기준일자,기업명,종목코드,이연법인세부채,분기코드,비유동부채,비지배지분,유형자산의 처분,유동자산,무형자산의 취득,기타포괄손익,유동부채,자본금,유형자산의 취득,현금및현금성자산,재고자산,매출원가,자산총계,비유동자산,무형자산,이자의 지급,유형자산,이자의 수취,매출총이익,부채총계,금융수익,사업년도,분기명,주가코드,분기종가,발행주식수,PSR,GP/A
0,0,20180515,삼성전자,00126380,12349990000000.0,11013,1842051000000,94546000000,141569000000.0,72370085000000,218113000000,-22220000000,47168741000000,897514000000,7870910000000,7769590000000,8915860000000.0,25196260000000,205206164000000,132836079000000,2823356000000,53935000000.0,66737192000000,94118000000,17410718000000,49010792000000,799826000000,2018,1분기,005930,49200,1301110006246,1.5024443251362065,8.48450049482919
1,1,20180814,삼성전자,00126380,13186358000000.0,11012,1926719000000,81090000000,198281000000.0,68070224000000,429125000000,-29115000000,40203756000000,897514000000,13744369000000,3981948000000,9935909000000.0,24606173000000,203970112000000,135899888000000,2857695000000,136264000000.0,69235302000000,222063000000,16708550000000,42130475000000,1290033000000,2018,2분기,005930,45150,1301110006246,1.421893032709112,8.191665845631345
2,2,20181114,삼성전자,00126380,13750490000000.0,11014,1771916000000,178867000000,282945000000.0,81904347000000,604961000000,12234000000,46368714000000,897514000000,17692885000000,3920032000000,10357340000000.0,27578197000000,217799444000000,135895097000000,2814997000000,242658000000.0,69525464000000,360840000000,20067142000000,48140630000000,739900000000,2018,3분기,005930,44100,1301110006246,1.2042930637023823,9.213587340470896
3,3,20190401,삼성전자,00126380,15162523000000.0,11011,2888179000000,450142000000,340558000000.0,80039455000000,880032000000,-378321000000,43145053000000,897514000000,21387378000000,2607957000000,12440951000000.0,101666506000000,219021357000000,138981902000000,2901476000000,343270000000.0,70602493000000,459074000000,68715364000000,46033232000000,3737494000000,2018,4분기,005930,45050,1301110006246,0.3440213784564185,31.37381894679796
4,4,20190515,삼성전자,00126380,15404584000000.0,11013,2578260000000,31372000000,105460000000.0,82311689000000,250866000000,78192000000,44319180000000,897514000000,2821582000000,5573010000000,14336408000000.0,26452223000000,220646957000000,138335268000000,2876176000000,73267000000.0,70498616000000,98290000000,10586172000000,46897440000000,643068000000,2019,1분기,005930,42550,1301110006246,1.494725426567952,4.797787444673438
5,5,20190814,삼성전자,00126380,16507403000000.0,11012,2493071000000,141509000000,178924000000.0,72045329000000,530064000000,-19304000000,34868869000000,897514000000,7652264000000,3609930000000,14195751000000.0,28690721000000,212750718000000,140705389000000,3403175000000,159887000000.0,71562016000000,294659000000,9458953000000,37361940000000,1565306000000,2019,2분기,005930,43700,1301110006246,1.4904061112802747,4.446026358416332
6,6,20191114,삼성전자,00126380,17185000000000.0,11014,2451483000000,194395000000,378687000000.0,76848738000000,779437000000,-19415000000,37245240000000,897514000000,12185018000000,2135881000000,12646133000000.0,32735989000000,217247371000000,140398633000000,3439350000000,230733000000.0,71544177000000,470687000000,9468922000000,39696723000000,1104785000000,2019,3분기,005930,52800,1301110006246,1.627739680099996,4.358589913615111
7,7,20200330,삼성전자,00126380,17053808000000.0,11011,2073509000000,288074000000,600901000000.0,72659080000000,2855959000000,-851958000000,36237164000000,897514000000,17240242000000,2081917000000,12201712000000.0,113618444000000,216180920000000,143521840000000,8008653000000,306633000000.0,74090275000000,673363000000,41154415000000,38310673000000,4281534000000,2019,4분기,005930,47850,1301110006246,0.4022547247697421,19.0370246365868
8,8,20200515,삼성전자,00126380,17398010000000.0,11013,2013369000000,-47406000000,133196000000.0,76640880000000,1041942000000,-341997000000,41130269000000,897514000000,5423126000000,1734961000000,11753625000000.0,29720949000000,220572391000000,143931511000000,7814577000000,52483000000.0,74624240000000,119579000000,10366990000000,43143638000000,1619269000000,2020,1분기,005930,47850,1301110006246,1.5530385285926298,4.700039725280033
9,9,20200814,삼성전자,00126380,17602407000000.0,11012,2231155000000,138012000000,305261000000.0,71148585000000,1237786000000,204056000000,37215802000000,897514000000,13000016000000,3039195000000,12090721000000.0,26252598000000,218197402000000,147048817000000,7401569000000,87943000000.0,78296370000000,252408000000,11651502000000,39446957000000,800092000000,2020,2분기,005930,58000,1301110006246,1.9909292230198843,5.33989034388228
10,10,20201116,삼성전자,00126380,18362110000000.0,11014,2057001000000,170909000000,356094000000.0,80000498000000,1711090000000,-28298000000,44642243000000,897514000000,19150071000000,2700629000000,12836108000000.0,33462592000000,228286881000000,148286383000000,6933886000000,124292000000.0,79988905000000,356569000000,14338642000000,46699244000000,911152000000,2020,3분기,005930,66300,1301110006246,1.804631098312437,6.280975033339739
11,11,20210309,삼성전자,00126380,18810845000000.0,11011,1934799000000,359529000000,431142000000.0,73798549000000,2239834000000,-549299000000,44412904000000,897514000000,26962042000000,989045000000,13831372000000.0,116753419000000,229664427000000,155865878000000,7002648000000,148262000000.0,86166924000000,448323000000,49557772000000,46347703000000,5676877000000,2020,4분기,005930,81400,1301110006246,0.6368203719280947,21.578340471508895
12,12,20210517,삼성전자,00126380,20206147000000.0,11013,1840817000000,219632000000,190300000000.0,78618052000000,644893000000,16006000000,59933681000000,897514000000,7449044000000,8291000000000,12864656000000.0,33137562000000,236530572000000,157912520000000,6878693000000,23076000000.0,88554997000000,68537000000,11904828000000,61774498000000,920764000000,2021,1분기,005930,79600,1301110006246,2.2993530427044746,5.033103289497816
13,13,20210817,삼성전자,00126380,20561350000000.0,11012,3720941000000,140678000000,318318000000.0,62447619000000,1454242000000,-80229000000,42753766000000,897514000000,17369129000000,4881542000000,12794771000000.0,31002588000000,227827588000000,165379969000000,9218016000000,45404000000.0,93677031000000,167563000000,14766046000000,46474707000000,757914000000,2021,2분기,005930,74200,1301110006246,2.1093564309446773,6.481237030872661
14,14,20211115,삼성전자,00126380,22487982000000.0,11014,3696390000000,291503000000,390249000000.0,73253025000000,2012016000000,-105283000000,49597918000000,897514000000,25648685000000,3928457000000,13499961000000.0,35634079000000,240684418000000,167431393000000,8989979000000,79260000000.0,96420021000000,225993000000,18285733000000,53294308000000,1408263000000,2021,3분기,005930,71400,1301110006246,1.722915028820286,7.597389624117669
15,15,20220308,삼성전자,00126380,23198205000000.0,11011,4851149000000,871837000000,408560000000.0,73553416000000,2459929000000,-613225000000,53067303000000,897514000000,36021504000000,3918872000000,15973053000000.0,135823433000000,251112184000000,177558768000000,8657456000000,125036000000.0,103667025000000,282918000000,63921272000000,57918452000000,3796979000000,2021,4분기,005930,69500,1301110006246,0.4527136047691327,25.45526504600032
16,16,20220516,삼성전자,00126380,23705374000000.0,11013,4278465000000,236954000000,55545000000.0,81466028000000,863935000000,-116928000000,56799776000000,897514000000,6939519000000,9129795000000,18708199000000.0,39184912000000,259354011000000,177887983000000,8333496000000,50096000000.0,104032562000000,57351000000,17539346000000,61078241000000,1739895000000,2022,1분기,005930,66300,1301110006246,1.5207531390557776,6.7627047418210156
17,17,20220816,삼성전자,00126380,26341382000000.0,11012,4745989000000,178247000000,239039000000.0,76194477000000,1335396000000,-100478000000,50310861000000,897514000000,16286602000000,3079118000000,21390252000000.0,39964268000000,258971297000000,182776820000000,8181534000000,117383000000.0,108381976000000,161320000000,18677020000000,55056850000000,2489143000000,2022,2분기,005930,61000,1301110006246,1.3534441873276386,7.212003884739396
18,18,20221114,삼성전자,00126380,28896279000000.0,11014,5134628000000,361777000000,260949000000.0,73953657000000,2885624000000,-165065000000,48848744000000,897514000000,26103575000000,6965195000000,25680933000000.0,38689379000000,261029078000000,187075421000000,8883979000000,210740000000.0,112946314000000,253051000000,15021662000000,53983372000000,3400924000000,2022,3분기,005930,61900,1301110006246,1.4994814452884537,5.7547849132731494
