,Name,Date,Open,High,Low,Close,Volume,Change,Code,MA_5,fast_%K,slow_%K,slow_%D,RSI,STD,Upper,Lower,Score,label,Predict,Prob_1,fast_10,pos_score,pos_title,neg_score,neg_title,MA_10
0,삼성전자,2018-01-08,52400,52520,51500,52020,8383650,-0.0019186492709132,5930,51572.0,71.875,77.59274420590938,67.72446552876431,54.37956204379562,1070.0634511603537,53712.12690232071,49431.873097679294,0.8375,0,1,0.6855259,,,,,,
1,삼성전자,2018-01-09,51460,51720,49980,50400,18013600,-0.0311418685121107,5930,51448.0,16.27906976744186,63.22355815939777,70.87529738647036,49.09390444810544,1075.82575385938,53599.65150771876,49296.34849228124,0.7614,0,0,0.15160726,,,,,,
2,삼성전자,2018-01-10,50500,50520,48640,48840,18566800,-0.0309523809523809,5930,50892.0,5.154639175257731,48.56641259995389,68.76245458090537,41.00609756097561,1137.1520289203422,53166.30405784069,48617.69594215931,0.8857,0,0,0.16363923,,,,,,
3,삼성전자,2018-01-11,48200,49260,48020,48240,25123800,-0.0122850122850123,5930,50324.0,4.888888888888889,36.76370257285363,61.73297220894468,37.5748502994012,1239.157608612778,52802.31521722556,47845.68478277444,0.5,0,0,0.13568702,,,,,,
4,삼성전자,2018-01-12,48240,48480,46760,48200,27270450,-0.0008291873963516,5930,49540.0,25.0,24.63951956631768,50.15718742088647,39.46540880503145,1291.792308560726,52123.58461712145,46956.41538287855,0.56,0,0,0.24928619,,,,,,
5,삼성전자,2018-01-15,48800,48980,47920,48540,10096000,0.0070539419087136,5930,48844.0,35.88709677419355,17.441938921156392,38.12702636393588,47.349823321554766,1333.864981738894,51511.72996347779,46176.27003652221,0.8182,1,0,0.47373465,,,,,,
6,삼성전자,2018-01-16,48760,50140,48620,50000,20389650,0.0300782859497321,5930,48764.0,86.17021276595744,31.420167520859508,31.766348236228225,51.22749590834698,1320.4763893279066,51404.95277865581,46123.04722134419,1.0,1,1,0.8565776,,,,,,
7,삼성전자,2018-01-17,50020,50020,49060,49620,11053050,-0.0076,5930,48920.0,84.61538461538461,47.312316608884885,31.515529038014428,56.3963963963964,1322.0697489498282,51564.13949789965,46275.860502100346,0.625,1,1,0.6886697,,,,,,
8,삼성전자,2018-01-18,50020,50640,49820,49900,14848850,0.0056428859330914,5930,49252.0,80.9278350515464,62.52010584141639,36.666809691726975,52.64187866927593,1298.7038072566845,51849.407614513366,46654.59238548664,0.9167,1,1,0.8104748,,,,,,
9,삼성전자,2018-01-19,50380,50380,49040,49320,9219950,-0.0116232464929859,5930,49476.0,51.47058823529412,67.8142234884752,45.30175047615848,41.08695652173913,1259.4384713806187,51994.87694276124,46957.123057238765,0.52,0,0,0.2906598,,,,,,
10,삼성전자,2018-01-22,48640,48680,47960,48240,12520900,-0.021897810218978,5930,49416.0,10.44776119402985,62.72635637244247,54.358633966415695,36.39921722113503,1295.5486543642992,52007.0973087286,46824.9026912714,0.4375,0,0,0.13568702,,,,,,
11,삼성전자,2018-01-23,48660,49160,48300,49160,13532700,0.0190713101160862,5930,49248.0,44.776119402985074,54.447537699848,58.9641080022134,38.330170777988606,1294.9988823542783,51837.99776470856,46658.002235291446,0.7857,1,1,0.5519886,,,,,,
