,기업명,종목코드,사업년도,분기명,유형자산의 처분,매출원가,유동자산,매출총이익,현금및현금성자산,유형자산,유동부채,비유동자산,재고자산,금융수익,비유동부채,이연법인세부채,이자의 지급,자본금,기타포괄손익,부채총계,비지배지분,자산총계,유형자산의 취득,무형자산의 취득,무형자산,이자의 수취,분기코드
0,삼성전자,126380,2018,1분기,141569000000.0,25196260000000,72370085000000,17410718000000,7769590000000,66737192000000,47168741000000,132836079000000,8915860000000.0,799826000000,1842051000000,12349990000000.0,53935000000.0,897514000000,-22220000000,49010792000000,94546000000,205206164000000,7870910000000,218113000000,2823356000000,94118000000,11013
1,삼성전자,126380,2018,2분기,198281000000.0,24606173000000,68070224000000,16708550000000,3981948000000,69235302000000,40203756000000,135899888000000,9935909000000.0,1290033000000,1926719000000,13186358000000.0,136264000000.0,897514000000,-29115000000,42130475000000,81090000000,203970112000000,13744369000000,429125000000,2857695000000,222063000000,11012
2,삼성전자,126380,2018,3분기,282945000000.0,27578197000000,81904347000000,20067142000000,3920032000000,69525464000000,46368714000000,135895097000000,10357340000000.0,739900000000,1771916000000,13750490000000.0,242658000000.0,897514000000,12234000000,48140630000000,178867000000,217799444000000,17692885000000,604961000000,2814997000000,360840000000,11014
3,삼성전자,126380,2018,4분기,340558000000.0,101666506000000,80039455000000,68715364000000,2607957000000,70602493000000,43145053000000,138981902000000,12440951000000.0,3737494000000,2888179000000,15162523000000.0,343270000000.0,897514000000,-378321000000,46033232000000,450142000000,219021357000000,21387378000000,880032000000,2901476000000,459074000000,11011
4,삼성전자,126380,2019,1분기,105460000000.0,26452223000000,82311689000000,10586172000000,5573010000000,70498616000000,44319180000000,138335268000000,14336408000000.0,643068000000,2578260000000,15404584000000.0,73267000000.0,897514000000,78192000000,46897440000000,31372000000,220646957000000,2821582000000,250866000000,2876176000000,98290000000,11013
5,삼성전자,126380,2019,2분기,178924000000.0,28690721000000,72045329000000,9458953000000,3609930000000,71562016000000,34868869000000,140705389000000,14195751000000.0,1565306000000,2493071000000,16507403000000.0,159887000000.0,897514000000,-19304000000,37361940000000,141509000000,212750718000000,7652264000000,530064000000,3403175000000,294659000000,11012
6,삼성전자,126380,2019,3분기,378687000000.0,32735989000000,76848738000000,9468922000000,2135881000000,71544177000000,37245240000000,140398633000000,12646133000000.0,1104785000000,2451483000000,17185000000000.0,230733000000.0,897514000000,-19415000000,39696723000000,194395000000,217247371000000,12185018000000,779437000000,3439350000000,470687000000,11014
7,삼성전자,126380,2019,4분기,600901000000.0,113618444000000,72659080000000,41154415000000,2081917000000,74090275000000,36237164000000,143521840000000,12201712000000.0,4281534000000,2073509000000,17053808000000.0,306633000000.0,897514000000,-851958000000,38310673000000,288074000000,216180920000000,17240242000000,2855959000000,8008653000000,673363000000,11011
8,삼성전자,126380,2020,1분기,133196000000.0,29720949000000,76640880000000,10366990000000,1734961000000,74624240000000,41130269000000,143931511000000,11753625000000.0,1619269000000,2013369000000,17398010000000.0,52483000000.0,897514000000,-341997000000,43143638000000,-47406000000,220572391000000,5423126000000,1041942000000,7814577000000,119579000000,11013
9,삼성전자,126380,2020,2분기,305261000000.0,26252598000000,71148585000000,11651502000000,3039195000000,78296370000000,37215802000000,147048817000000,12090721000000.0,800092000000,2231155000000,17602407000000.0,87943000000.0,897514000000,204056000000,39446957000000,138012000000,218197402000000,13000016000000,1237786000000,7401569000000,252408000000,11012
